Contract;Date and time;kWh;Consumption code;Average temperature (°C);Temperature code
0312316267;2018-10-22 23:00:00;0.73;R;4;R
0312316267;2018-10-22 22:00:00;0.44;R;3;R
0312316267;2018-10-22 21:00:00;0.89;R;3;R
0312316267;2018-10-22 20:00:00;0.20;R;4;R
0312316267;2018-10-22 19:00:00;0.32;R;5;R
0312316267;2018-10-22 18:00:00;0.61;R;5;R
0312316267;2018-10-22 17:00:00;0.24;R;5;R
0312316267;2018-10-22 16:00:00;1.07;R;5;R
0312316267;2018-10-22 15:00:00;1.27;R;6;R
0312316267;2018-10-22 14:00:00;1.07;R;5;R
0312316267;2018-10-22 13:00:00;1.79;R;5;R
0312316267;2018-10-22 12:00:00;2.64;R;6;R
0312316267;2018-10-22 11:00:00;0.79;R;5;R
0312316267;2018-10-22 10:00:00;1.54;R;4;R
0312316267;2018-10-22 09:00:00;0.37;R;3;R
0312316267;2018-10-22 08:00:00;0.46;R;3;R
0312316267;2018-10-22 07:00:00;0.39;R;2;R
0312316267;2018-10-22 06:00:00;0.36;R;1;R
0312316267;2018-10-22 05:00:00;0.43;R;0;R
0312316267;2018-10-22 04:00:00;0.43;R;0;R
0312316267;2018-10-22 03:00:00;0.42;R;-1;R
0312316267;2018-10-22 02:00:00;0.42;R;-1;R
0312316267;2018-10-22 01:00:00;0.84;R;0;R
0312316267;2018-10-22 00:00:00;0.47;R;0;R
0312316267;2018-10-21 23:00:00;0.88;R;1;R
0312316267;2018-10-21 22:00:00;0.55;R;1;R
0312316267;2018-10-21 21:00:00;0.65;R;0;R
0312316267;2018-10-21 20:00:00;0.49;R;1;R
0312316267;2018-10-21 19:00:00;0.42;R;2;R
0312316267;2018-10-21 18:00:00;0.22;R;3;R
0312316267;2018-10-21 17:00:00;1.14;R;3;R
0312316267;2018-10-21 16:00:00;1.81;R;4;R
0312316267;2018-10-21 15:00:00;0.93;R;4;R
0312316267;2018-10-21 14:00:00;1.42;R;4;R
0312316267;2018-10-21 13:00:00;2.26;R;4;R
0312316267;2018-10-21 12:00:00;4.28;R;4;R
0312316267;2018-10-21 11:00:00;3.66;R;4;R
0312316267;2018-10-21 10:00:00;1.38;R;3;R
0312316267;2018-10-21 09:00:00;0.63;R;3;R
0312316267;2018-10-21 08:00:00;0.10;R;2;R
0312316267;2018-10-21 07:00:00;0.04;R;2;R
0312316267;2018-10-21 06:00:00;0.09;R;2;R
0312316267;2018-10-21 05:00:00;0.10;R;3;R
0312316267;2018-10-21 04:00:00;0.04;R;3;R
0312316267;2018-10-21 03:00:00;0.09;R;3;R
0312316267;2018-10-21 02:00:00;0.06;R;3;R
0312316267;2018-10-21 01:00:00;0.08;R;3;R
0312316267;2018-10-21 00:00:00;0.12;R;4;R
0312316267;2018-10-20 23:00:00;0.49;R;2;R
0312316267;2018-10-20 22:00:00;0.27;R;4;R
0312316267;2018-10-20 21:00:00;1.27;R;5;R
0312316267;2018-10-20 20:00:00;1.04;R;6;R
0312316267;2018-10-20 19:00:00;1.61;R;7;R
0312316267;2018-10-20 18:00:00;2.25;R;8;R
0312316267;2018-10-20 17:00:00;0.44;R;9;R
0312316267;2018-10-20 16:00:00;0.51;R;10;R
0312316267;2018-10-20 15:00:00;0.21;R;11;R
0312316267;2018-10-20 14:00:00;0.12;R;12;R
0312316267;2018-10-20 13:00:00;0.37;R;12;R
